Old URL,Page Type,Title,H1,Suggested Redirect,Status,Notes
https://psmphuket.com/property-feature/fully-furnished/page/3,archive,Fully Furnished - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/balcony/page/8,archive,Balcony - Phuket Property Service - Page 8,,/properties,200,
https://psmphuket.com/property-type/condominium/page/3,archive,Condominium - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/author/jum/page/6,archive,jum - Phuket Property Service - Page 6,All Properties By,/properties,200,
https://psmphuket.com/property-feature/laundry-room/page/4,archive,Laundry Room - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/author/jum/page/7,archive,jum - Phuket Property Service - Page 7,All Properties By,/properties,200,
https://psmphuket.com/property-feature/2-stories/page/4,archive,2 Stories - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/fully-equipped-kitchen/page/7,archive,Fully Equipped Kitchen - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/property-feature/balcony/page/7,archive,Balcony - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/property-feature/gym/page/3,archive,Gym - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/central-cooling/page/3,archive,Central Cooling - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/central-cooling/page/2,archive,Central Cooling - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/3-stories,archive,3 Stories - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/2-stories/page/3,archive,2 Stories - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/jog-path,archive,Jog Path - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/central-cooling/page/4,archive,Central Cooling - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/kitchen/page/5,archive,Kitchen - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-feature/fire-alarm/page/3,archive,Fire Alarm - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/kitchen/page/2,archive,Kitchen - Phuket Property Service - Page 2,,/properties,200,
